PlotID,QuadratName,QX,QY,Tag,CensusID,Status
1,4924,19.8,9,314614,6,dead
1,4924,19,9.4,314615,6,alive
1,4924,3.4,19.3,449609,6,alive
1,4924,6,17,449610,6,alive
1,4924,5.3,11.9,449611,6,alive
1,4924,5.3,10.9,449612,6,alive
1,4924,13.1,4.8,449615,6,alive
1,4924,13.1,4.8,449615,6,alive
1,4924,13.4,7.5,449616,6,alive
1,4924,2.7,4.1,549321,6,alive
1,4924,7.1,16.9,549322,6,alive
1,4924,9.5,5.9,549323,6,alive
1,4924,17.9,18.5,549324,6,alive
1,4924,17.6,3,549325,6,alive
1,4924,18.4,0.8,646582,6,alive
1,4924,2.7,11.2,649372,6,alive
1,4924,4.3,14.7,649373,6,alive
1,4924,4.6,19.2,649374,6,alive
1,4924,7.7,12.2,649375,6,alive
1,4924,5.6,12.1,649376,6,alive
1,4924,8.5,3.8,649377,6,alive
1,4924,8.5,3.8,649377,6,alive
1,4924,12.2,3.9,649378,6,alive
1,4924,13.7,4,649379,6,alive
1,4924,12.8,3.2,649380,6,alive
1,4924,12.3,5.6,649381,6,alive
1,4924,17.8,11.9,649383,6,alive
1,4924,1.1,7,749568,6,alive
1,4924,5.4,10.5,749569,6,alive
1,4924,5.2,12.2,749570,6,alive
1,4924,16.4,8.9,749571,6,alive
1,4924,14.1,8.3,000002,171,alive
1,4924,10.5,8.9,000004,171,alive
1,4924,13.5,18.3,000006,171,alive
1,4924,0.6,4.9,014886,171,dead
1,4924,1.9,2.5,014900,171,alive
1,4924,4.1,13.2,019761,171,alive
1,4924,4.1,12.2,019762,171,alive
1,4924,4.5,18,019763,171,dead
1,4924,2.2,15.2,019764,171,alive
1,4924,5.2,15.5,019766,171,dead
1,4924,6,14.2,019767,171,alive
1,4924,6.5,14.5,019768,171,alive
1,4924,12.3,16.4,019769,171,dead
1,4924,14.8,19.5,019771,171,alive
1,4924,19.3,19.6,019774,171,dead
1,4924,17,15.7,019775,171,dead
1,4924,19.2,5.3,019776,171,alive
1,4924,19.7,5.9,019777,171,alive
1,4924,4.2,14.5,019778,171,alive
1,4924,4.2,14.5,019778,171,alive
1,4924,2.5,1.9,129161,171,alive
