value
14
14
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
14
14
14
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
14
14
14
14
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
11
14
14
14
14
14
11
11
11
11
11
11
11
11
11
11
14
14
14
11
5
14
14
14
14
14
14
14
11
11
11
11
11
14
14
14
14
14
5
5
5
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
5
5
5
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
5
5
5
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
5
5
5
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
15
5
5
5
14
14
14
14
14
14
14
14
14
14
14
14
14
14
14
15
15
5
5
5
14
14
14
14
14
14
14
14
14
14
14
14
14
15
15
15
15
5
5
5
14
14
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
5
5
5
14
14
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
5
5
4
14
14
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
5
5
4
14
14
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
4
4
4
14
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
4
4
4
4
14
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
4
4
4
4
14
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
4
4
4
4
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
15
7
7
4
7
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
15
7
7
7
7
12
12
14
14
14
14
15
15
15
15
15
15
15
15
15
15
7
7
7
7
12
12
12
12
14
14
15
15
15
15
15
15
15
15
15
7
7
7
7
7
12
12
12
12
12
11
15
15
15
15
15
15
15
15
15
7
7
7
7
7
12
12
12
12
12
12
12
15
15
15
15
15
15
15
7
7
7
7
7
7
12
12
12
12
12
12
12
12
12
15
15
15
15
15
7
7
7
7
7
7
12
12
12
12
12
12
12
12
12
12
12
15
15
7
7
7
7
7
7
7
12
12
12
12
12
12
12
12
12
12
12
12
7
7
7
7
7
7
7
7
12
12
12
12
12
12
12
12
12
12
12
12
7
7
7
7
7
7
7
7
12
12
12
12
12
12
12
12
12
12
12
12
8
7
7
7
7
7
7
7
12
12
12
12
12
12
12
12
12
12
12
12
8
8
7
7
7
7
7
7
